"name","id"
"Bladderwrack","ev:E00806"
"Blattidae","ev:E00527"
"Bletilla striata corm","ev:E00413"
"Bletillae tuber","ev:E00413"
"Blue gum","ev:E00825"
"Blue mallow","ev:E00763"
"Boehmeria nivea root","ev:E00419"
"Boehmeriae radix","ev:E00419"
"Bois de rose oil","ev:E00247"
"Bokusoku","ev:E00200"
"Bolboschoenus fluviatilis tuber","ev:E00674"
"Bombax malabaricum bark","ev:E00746"
"Bombycis faeces","ev:E00529"
"Bombyx batryticatus","ev:E00308"
"Boneset","ev:E00311"
"Boschniakia herb","ev:E00847"
"Boschniakiae herba","ev:E00847"
"Boswellia gum substance","ev:E00343"
"Brassica hirta seed","ev:E00586"
"Brassica juncea seed","ev:E00325"
"Brassica nigra seed","ev:E00587"
"Breea Cirsium, Ixeris root, rhizome or herb","ev:E00619"
"Broussonetia papyrifera fruit","ev:E00454"
"Broussonetiae fructus","ev:E00454"
"Brown rice","ev:E00251"
"Buddleiae flos","ev:E00491"
"Buddleja officinalis flower bud or inflorescence","ev:E00491"
"Bulgarian rose oil","ev:E00242"
"Bungarus multicinctus Elaphe moellendorffi","ev:E00644"
"Bupleurum chinense root","ev:E00568"
"Bupleurum longiradiatum root","ev:E00571"
"Bupleurum root","ev:E00099"
"Bupleurum scorzonerifolium root","ev:E00569"
"Burdock fruit","ev:E00095"
"Burdock root","ev:E00797"
"Burnet root","ev:E00291"
"Butterbur","ev:E00800"
"Byakugo","ev:E00187"
"Calcite","ev:E00545"
"Calcitum","ev:E00545"
"Calumba","ev:E00097"
"Camphor tree","ev:E00401"
"Campsis grandiflora flower","ev:E00493"
"Campsitis flos","ev:E00493"
"Camptotheca acuminata","ev:E00259"
"Cananga oil","ev:E00563"
"Canis male sex organ","ev:E00850"
"Cantharides tincture","ev:E00036"
"Capsicum","ev:E00014"
"Capsicum extract","ev:E00047"
"Capsicum tincture","ev:E00047"
"Caraway oil","ev:E00237"
"Cardamom oil","ev:E00238"
"Cardamom seed","ev:E00015"
"Cardamon","ev:E00015"
"Carpesium abrotanoides fruit","ev:E00625"
"Cascara sagrada","ev:E00013"
"Cascara sagrada fluidextract","ev:E00013"
"Cassia oil","ev:E00650"
"Cassia seed","ev:E00086"
"Cassis","ev:E00807"
"Castor oil","ev:E00049"
"Cat's claw","ev:E00773"
"Catalpa fruit","ev:E00077"
"Catharsius","ev:E00243"
"Catharsius molossus","ev:E00243"
"Cayenne papper","ev:E00014"
"Cedarleaf oil","ev:E00656"
"Cedarwood oil","ev:E00657"
"Cedarwood oil","ev:E00714"
"Celosia argentea seed","ev:E00445"
"Celosia flower cluster","ev:E00486"
"Celosiae flos","ev:E00486"
"Celosiae semen","ev:E00445"
"Centipede","ev:E00528"
"Cervus male sex organ","ev:E00332"
"Cetraria","ev:E00757"
"Chaenomeles sinensis fruit","ev:E00214"
"Chaenomeles speciosa fruit","ev:E00662"
"Chamomile","ev:E00322"
"Chamomile oil","ev:E00724"
"Chamomillae flos","ev:E00322"
"Changium smyrnioides root","ev:E00599"
"Chaste berry","ev:E00789"
"Chaste tree fruit","ev:E00789"
"Chayo","ev:E00254"
"Chebulae fructus","ev:E00206"
"Chenopodium album fruit","ev:E00708"
"Chenopodium ficifolium fruit","ev:E00709"
"Cherry bark","ev:E00190"
"Cherry bark extract","ev:E00011"
"Chicken liver","ev:E00860"
"Chicken stomach lining","ev:E00525"
"Chimonanthi flos","ev:E00489"
"Chimonanthus praecox flower bud","ev:E00489"
"Chinese angelica root","ev:E00320"
"Chinese cinnamon oil","ev:E00650"
"Chinese cnidium rhizome","ev:E00321"
"Chinese lobelia","ev:E00305"
"Chlorella","ev:E00856"
"Chlorite schist","ev:E00548"
"Chrysanthemum cinerariaefolium extract","ev:E00185"
"Chrysanthemum flower","ev:E00076"
"Chrysanthemum lavandulaefolium capitulum","ev:E00683"
"Chrysomya megacephala larva","ev:E00533"
"Chrysomyae vermiculus","ev:E00533"
"Cibotium barometz rhizome","ev:E00416"
"Cicada flammata larva","ev:E00507"
"Cicada larva exuvia","ev:E00197"
"Cicada slough","ev:E00197"
"Cicadae periostracum","ev:E00197"
"Cimicifuga rhizome","ev:E00116"
"Cimicifuga rhizome","ev:E00696"
"Cinamomi ramulus","ev:E00249"
"Cinchona bark","ev:E00257"
"Cinnamomum burmannii bark","ev:E00118"
"Cinnamomum obtusifolium bark","ev:E00052"
"Cinnamomum sieboldii bark","ev:E00183"
"Cinnamomum zeylanicum bark","ev:E00566"
"Cinnamon bark","ev:E00084"
"Cinnamon bark oil","ev:E00085"
"Cinnamon branch","ev:E00249"
"Cinnamon fruit","ev:E00032"
"Cinnamon leaf oil","ev:E00733"
"Cinnamon oil","ev:E00085"
"Cinnamon oil","ev:E00650"
"Cinnamon twig","ev:E00249"
"Cirsium radix","ev:E00620"
"Cirsium root","ev:E00703"
"Cirsium root rhizome or herb","ev:E00430"
"Cistanche stem","ev:E00342"
"Cistus oil","ev:E00671"
"Citri unshiu pericarpium immaturus","ev:E00338"
"Citron","ev:E00266"
